title,company_name
IT QA Automation,PT. Asian Sigma Technology
ShopeePay QA Engineer [Entry Level] - NEW,Shopee
Software Quality Assurance Intern,Shopee
Backend Enggineer,Itommey Bintang Indonesia PT
Consultant as Python Developer,WRI Indonesia
Data - Business Intelligence,Shopee
INSTRUKTUR KELAS TEKNOLOGI (AI),PT Orbit Ventura Indonesia
"Data Architect, Google Cloud Professional Services",Google
Software Development,PT Datindo Infonet Prima
QA Engineer,StyleTheory
Magang Python Programer,PT QTERA MANDIRI
Data Analyst - Consumer Loyalty (GoClub),GO-JEK
"Quantitative Researcher, NLP Intern (Remote)",Dynamic Technology Lab Pte Ltd
Test Engineer,Quipper
Python Programmer,Insura
